authorID,name
144417809,Lynn  Morris
144427364,Lucas  Dominguez
144450416,Deborah M.  Power
144452430,Jan W Pawlowski
144459751,Debashish  Bhattacharya
144470621,Brendan W. Wren
144505179,Yoshihiro  Sakoda
144507863,Colin  Hill
144510474,Edmund  Gittenberger
144524278,David Charles Montefiori
144578312,Martine  Peeters
144583719,Hans-Jürgen  Busse
144596318,Yutaka  Suzuki
144624855,Jun  Ishikawa
144635817,Jesús E. Maldonado
144640612,Santiago  Gutiérrez
144669368,Vincent  Laudet
144677574,Dina Madera Fonseca
144705651,David D. Ho
144718851,Eli  Geffen
144727063,George M.  Shaw
144735482,Michael R. J.  Forstner
144746276,Manabu  Fukui
144748081,Rosabelle  Samuel
144762279,Ayato  Takada
144824163,Rolf-Joachim  Müller
144824615,Tom G. Schwan
144831199,Michel  Monod
144836707,Makoto M.  Watanabe
144848285,Alongkorn  Amonsin
144853148,Jeroen P. J. Saeij
144882058,Michael John Wingfield
144890453,Ricardo  Flores
144899396,Mark J.  Walker
144902876,Jitender P.  Dubey
144905014,Trinad  Chakraborty
144914703,Mutsumi  Nishida
144979230,Matthias  Horn
144979748,Kornelia  Smalla
145002648,Su-Hua  Shi
145007996,Leif  Andersson
145028479,Bette T. M. Korber
145078422,Geoffrey K. Chambers
145080052,Richard G. F.  Visser
145095860,Rodney A.  Bray
145096244,Beat  Keller
145127160,Peter J. Walker
145145926,Carles  Vilà
145150366,Francine  Govers
145175725,Norbert  Nowotny
145181344,Erwan  Corre
145190475,Kumiko  Yoshimatsu
145211741,Karen  Hansen
145233033,Akira  Ito
145257999,R. Paul Ross
145258684,Michael  Bunce
145266134,Elena  Conti
145267801,C. Graham Clark
145280180,Andrew G. Clark
145282802,Jonathan A.  Eisen
145295266,W. Ian  Lipkin
145301056,J. Mark  Cock
145308395,Nicholas R. Thomson
145317570,Philippe  Glaser
145318778,Donald A.  Bryant
145319467,Robert A.  Samson
145322406,Noriyuki  Satoh
145340672,Andrew J.  Davison
145343547,Mary  Carrington
145362403,Salvador  Carranza
145379634,Robert W. Shafer
145388700,C. Robin Buell
145430697,Don J.  Melnick
145440427,Evan E. Eichler
145457982,W. John Kress
145458018,Christian  Stauffer
145467057,Thomas C.  Quinn
145499783,Susan  Engelbrecht
145506097,Antonietta  Mello
