"","author_id","name_initial","name","num_ssid_1997","num_ssid_1998","num_ssid_1999","num_ssid_2000","num_ssid_2001","num_ssid_2002","num_ssid_2003","num_ssid_2004","num_ssid_2005","num_ssid_2006","num_ssid_2007","num_ssid_2008","num_ssid_2009","num_ssid_2010","num_ssid_2011","num_ssid_2012","num_ssid_2013","num_ssid_2014","num_ssid_2015","num_ssid_2016","num_ssid_2017"
"106",2196335,"Foster,G.","Geoffrey  Foster",1,2,8,5,8,4,1,4,4,1,NA,NA,NA,NA,1,2,1,2,1,NA,3
"107",2198395,"Overmann,J.","Jörg  Overmann",1,3,1,1,2,2,5,2,7,4,6,3,2,NA,5,6,6,3,7,14,20
"108",2208383,"Cribb,T.H.","Thomas H.  Cribb",NA,NA,1,NA,1,NA,2,2,2,4,5,2,3,5,3,1,7,11,6,11,10
"109",2214207,"Soares,M.A.","Marcelo Alves Soares",2,NA,NA,NA,NA,1,1,5,3,4,NA,NA,1,2,4,1,4,1,5,1,2
"110",2223499,"Guillou,L.","Laure  Guillou",NA,1,4,1,1,3,NA,7,1,1,NA,3,NA,2,4,3,NA,3,1,2,1
"111",2228181,"Schulman,A.H.","Alan H. Schulman",1,2,2,1,4,1,NA,3,1,3,1,7,2,NA,2,NA,NA,1,NA,1,1
"112",2232660,"Braun,E.L.","Edward L. Braun",8,1,4,1,3,NA,3,1,NA,NA,4,6,1,1,2,1,3,6,2,2,4
"113",2238040,"Okano,H.","Hideyuki  Okano",NA,3,3,3,4,3,NA,1,6,1,NA,NA,1,NA,NA,1,3,NA,3,1,NA
"114",2245636,"Horiguchi,T.","Takeo  Horiguchi",NA,NA,1,2,2,3,2,1,2,3,3,1,2,NA,2,2,4,3,6,3,5
"115",2257544,"Kalinowski,J.","Jörn  Kalinowski",NA,1,NA,NA,NA,4,9,4,2,2,1,2,NA,NA,2,5,5,8,5,4,3
"116",2260845,"Haydon,D.T.","Daniel T. Haydon",1,NA,NA,1,4,2,1,NA,NA,1,2,4,1,NA,NA,1,3,2,1,NA,NA
"117",2282838,"Fukushi,S.","Shuetsu  Fukushi",NA,1,1,1,1,2,NA,1,NA,1,3,NA,2,1,NA,NA,3,2,2,NA,1
"118",2285010,"Nevo,E.","Eviatar  Nevo",NA,NA,4,NA,4,5,2,7,6,5,2,5,1,3,2,4,3,6,2,NA,NA
"119",2289922,"Buck,G.A.","Gregory A.  Buck",2,2,3,3,2,1,1,1,NA,NA,2,NA,NA,1,2,3,2,1,4,NA,2
"120",2306084,"Goodfellow,M.","Michael  Goodfellow",3,4,9,7,8,6,11,15,9,13,16,8,1,6,8,12,14,6,5,11,5
"121",2313711,"Dougan,G.","Gordon  Dougan",1,3,2,NA,4,1,3,NA,2,3,5,2,6,8,6,6,3,7,3,NA,NA
"122",2332485,"Sugiyama,M.","Makoto  Sugiyama",1,NA,NA,NA,2,1,3,NA,NA,NA,1,1,2,1,2,NA,1,NA,NA,3,NA
"123",2338971,"Harrington,T.C.","Thomas C.  Harrington",NA,1,2,3,3,1,4,3,5,2,NA,3,1,6,5,1,NA,4,4,1,6
"124",2343284,"Kurokawa,K.","Ken  Kurokawa",NA,NA,2,4,1,1,3,1,2,NA,2,3,3,2,3,2,3,5,3,2,1
"125",2361982,"Snow,M.","Michael  Snow",NA,NA,1,1,1,1,1,1,NA,NA,NA,1,3,1,2,1,2,1,3,1,NA
"126",2378282,"Hahn,M.E.","Mark E. Hahn",1,1,5,2,2,5,NA,5,2,3,1,2,2,2,2,1,4,NA,1,NA,2
"127",2383680,"Vandamme,P.A.","Peter A R Vandamme",3,2,9,8,12,10,7,13,14,11,13,18,14,10,10,8,24,29,20,12,7
"128",2388714,"Camp,H.J.","Huub J. M.  Op den Camp",1,NA,4,1,NA,3,3,NA,1,5,7,3,2,2,7,10,8,2,2,3,NA
"129",2400405,"Comai,L.","Luca  Comai",NA,1,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,2,1,NA
"130",2406907,"Itoh,T.","Takashi  Itoh",NA,4,1,2,2,1,3,2,5,6,11,2,5,8,6,2,11,3,5,3,1
"131",2409859,"Erdman,D.D.","Dean D. Erdman",NA,NA,1,1,1,1,1,2,2,3,1,2,1,2,1,NA,1,2,1,3,1
"132",2424404,"Mackenzie,J.S.","John S.  Mackenzie",NA,NA,4,4,2,NA,2,1,2,2,1,1,NA,2,1,NA,NA,1,1,2,1
"133",2433812,"Brinkhoff,T.","Thorsten  Brinkhoff",2,4,3,1,NA,NA,1,3,4,NA,4,1,2,2,3,8,9,1,4,1,4
"134",2447077,"Spring,S.","Stefan  Spring",1,1,2,3,1,NA,4,3,6,4,3,1,10,23,15,9,7,1,3,2,2
"135",2453924,"Cummings,M.P.","MICHAEL P.  CUMMINGS",1,2,NA,1,NA,2,1,1,NA,NA,NA,3,2,NA,3,1,2,NA,NA,1,1
"136",2457305,"Vinuesa,P.","Pablo  Vinuesa",NA,NA,1,NA,1,NA,2,NA,5,3,NA,3,1,NA,3,1,NA,NA,2,4,NA
"137",2467018,"Giovannoni,J.J.","James J. Giovannoni",NA,NA,1,NA,NA,3,NA,3,1,4,NA,6,NA,6,2,8,NA,2,NA,NA,1
"138",2473775,"Morgado,M.G.","Mariza Gonçalves Morgado",NA,1,2,1,NA,3,3,NA,NA,5,5,1,3,1,2,4,3,2,1,7,1
"139",2476277,"Kimball,R.T.","Rebecca T. Kimball",1,NA,1,1,4,1,2,1,NA,1,6,6,2,1,2,1,3,3,1,3,4
